,annual_return,annual_volatility,sharpe_ratio,max_drawdown,skewness,kurtosis
VBTLX,0.01960136159009914,0.05623685487754557,-0.007088561598419495,-0.0592369628843552,0.032719638439121415,0.43571604589634205
VTABX,0.011386995361657905,0.04581661701739444,-0.18798866435451003,-0.04968028689976225,-2.568421190828927,22.87544231614192
VTIAX,0.1429711038293767,0.13704267396828565,0.8973197929415374,-0.14566711091721002,-0.18893739046174238,7.105017500639233
VTSAX,0.19956804623004515,0.1647412453093235,1.0900005392874286,-0.19642128945564233,0.6713302614149725,16.74203621797674
VTAPX,0.03314160462475744,0.026732505885130077,0.49159643623486265,-0.02259892484961929,-2.3953479537702624,16.257828969880915
VBIAX,0.09769273845068947,0.11095924151120133,0.7001916865378571,-0.1614462894768054,-0.10989402841155048,11.017448600680915
VFIAX,0.20472983733977004,0.1611502794625177,1.1463203039789749,-0.19032192745040777,0.7407337579511546,18.044861322719655
VIMAX,0.15232582561953623,0.15862622734801826,0.8341989079095967,-0.19618470919156325,0.2543236428284853,11.677947189154413
VSMAX,0.13117739259449873,0.20069919776721543,0.553950358702728,-0.2582474734449048,0.37104493033672853,7.762657260572437
VDE,0.018348664533727518,0.22029406769855506,-0.007496050545183674,-0.22598330390827023,-0.8462098318646084,7.785377125612465
VAW,0.08323770206310113,0.1777942685270545,0.35567908114809904,-0.2387900087655975,0.38282065036779184,9.37736547156443
VIS,0.1874762197241308,0.17518542636270248,0.9559940184601281,-0.21330002258540698,0.5882795786766158,11.970837214866746
VPU,0.16560574213324214,0.16895643793459814,0.8617945780178269,-0.13760099509892795,-0.39806239100208757,2.604112265204009
VHT,0.023228693439641176,0.14213189663033554,0.022716177833315903,-0.17837555814276512,-0.5023211270619843,4.329928615799744
VFH,0.23705780101435245,0.17756063000109426,1.2224432916971222,-0.17645668476136578,0.002167526189298281,11.327495782165157
VDC,0.07570163172081514,0.12139626762386635,0.4588413862393267,-0.0940484786347948,0.046964115660289636,3.567518959874555
VCR,0.18074307089708172,0.2226490414822991,0.7219571655324688,-0.27642819104367566,0.5792753242934163,8.920625256511656
VGT,0.2853678332915241,0.24667019946480317,1.0758001325952178,-0.2740867379906823,0.5794148032767399,12.276861072624088
VOX,0.2758776497683578,0.18937521619418804,1.3511675651684918,-0.21342477666981366,0.292729738556744,9.244060820763943
VNQ,0.06884574947109252,0.18297334271815838,0.26695555071282545,-0.19379610052145307,0.07759786645563449,3.0769511246242156
